2023-03-20,"STARBUCKS SCARBOROUGH, ON",4.35,
2023-03-18,"WALMART SUPERSTORE TORONTO, ON",57.64,
2023-03-17,"BEST BUY MARKHAM, ON",136.99,
2023-03-15,"PETSMART RICHMOND HILL, ON",36.54,
2023-03-13,"APPLE STORE EATON CENTRE TORONTO, ON",989.99,
2023-03-11,"SHOPPERS DRUG MART MARKHAM, ON",18.79,
2023-03-10,"TIM HORTONS MARKHAM, ON",1.89,
2023-03-08,"CINEPLEX CINEMAS MARKHAM, ON",35.25,
2023-03-06,"ZARA YORKDALE MALL, ON",89.99,
2023-03-04,"CANADIAN TIRE MARKHAM, ON",49.99,
2023-03-03,"STARBUCKS TORONTO, ON",3.15,
2023-03-01,"CHAPMAN'S ICE CREAM MARKHAM, ON",4.87,
2023-02-27,"FOOD BASICS NORTH YORK, ON",35.88,
2023-02-25,"HMV TORONTO, ON",12.99,
2023-02-24,"CHAPTERS INDIGO MARKHAM, ON",19.42,
2023-02-22,"PETSUPPLIES PLUS RICHMOND HILL, ON",43.75,
2023-02-20,"CANADA POST MARKHAM, ON",1.1,
2023-02-18,"HOME HARDWARE MARKHAM, ON",26.33,
2023-02-17,"WALMART SUPERSTORE TORONTO, ON",52.89,
2023-02-15,"BEST BUY MARKHAM, ON",109.99,
2023-02-13,"PETSMART RICHMOND HILL, ON",32.14,
2023-02-11,"APPLE STORE EATON CENTRE TORONTO, ON",829.99,
2023-02-10,"SHOPPERS DRUG MART MARKHAM, ON",14.99,
2023-02-08,"TIM HORTONS MARKHAM, ON",1.79,
2023-02-06,"CINEPLEX CINEMAS MARKHAM, ON",28.5,
2023-02-04,"ZARA YORKDALE MALL, ON",76.82,
2023-02-03,"CANADIAN TIRE MARKHAM, ON",39.99,
2023-02-01,"STARBUCKS TORONTO, ON",3.05,
2023-01-30,"CHAPMAN'S ICE CREAM MARKHAM, ON",3.99,
2023-01-28,"FOOD BASICS NORTH YORK, ON",28.51,
2023-01-27,"HMV TORONTO, ON",9.99,
2023-01-25,"CHAPTERS INDIGO MARKHAM, ON",16.26,
2023-01-23,"PETSUPPLIES PLUS RICHMOND HILL, ON",38.69,
2023-01-21,"CANADA POST MARKHAM, ON",0.95,
2023-01-20,"HOME HARDWARE MARKHAM, ON",23.51,
2023-01-18,"WALMART SUPERSTORE TORONTO, ON",47.32,
2023-01-17,"BEST BUY MARKHAM, ON",89.99,
2023-01-15,"PETSMART RICHMOND HILL, ON",26.73,
2023-01-13,"APPLE STORE EATON CENTRE TORONTO, ON",689.99,
2023-01-11,"SHOPPERS DRUG MART MARKHAM, ON",12.59,
2023-01-10,"TIM HORTONS MARKHAM, ON",1.59,
2023-01-08,"CINEPLEX CINEMAS MARKHAM, ON",21.75,
2023-01-06,"ZARA YORKDALE MALL, ON",61.25,
2023-01-04,"CANADIAN TIRE MARKHAM, ON",32.99,
2023-01-03,"STARBUCKS TORONTO, ON",2.75,
2023-01-01,"CHAPMAN'S ICE CREAM MARKHAM, ON",2.49,
2022-12-30,"FOOD BASICS NORTH YORK, ON",22.19,
2022-12-29,"HMV TORONTO, ON",7.49,
2022-12-27,"CHAPTERS INDIGO MARKHAM, ON",12.73,
2022-12-25,"PETSUPPLIES PLUS RICHMOND HILL, ON",28.99,
2022-12-23,"CANADA POST MARKHAM, ON",0.85,
2022-12-22,"HOME HARDWARE MARKHAM, ON",19.27,
2022-12-20,"WALMART SUPERSTORE TORONTO, ON",41.87,
2022-12-19,"BEST BUY MARKHAM, ON",69.99,
2022-12-17,"PETSMART RICHMOND HILL, ON",20.45,
2022-12-15,"APPLE STORE EATON CENTRE TORONTO, ON",529.99,
2022-12-13,"SHOPPERS DRUG MART MARKHAM, ON",9.89,
2022-12-12,"TIM HORTONS MARKHAM, ON",1.29,
2022-12-10,"CINEPLEX CINEMAS MARKHAM, ON",18.25,
2022-12-08,"ZARA YORKDALE MALL, ON",52.94,
2022-12-06,"CANADIAN TIRE MARKHAM, ON",26.99,
2022-12-05,"STARBUCKS TORONTO, ON",2.45,
2022-12-03,"CHAPMAN'S ICE CREAM MARKHAM, ON",1.99,
2022-12-01,"FOOD BASICS NORTH YORK, ON",18.67,
2022-11-29,"HMV TORONTO, ON",5.99,
2022-11-28,"CHAPTERS INDIGO MARKHAM, ON",9.52,
2022-11-26,"PETSUPPLIES PLUS RICHMOND HILL, ON",23.78,
2022-11-24,"CANADA POST MARKHAM, ON",0.75,
2022-11-23,"HOME HARDWARE MARKHAM, ON",16.43,
2022-11-21,"WALMART SUPERSTORE TORONTO, ON",36.95,
2022-11-20,"BEST BUY MARKHAM, ON",49.99,
2022-11-18,"PETSMART RICHMOND HILL, ON",14.27,
2022-11-16,"APPLE STORE EATON CENTRE TORONTO, ON",469.99,
2022-11-14,"SHOPPERS DRUG MART MARKHAM, ON",7.99,
2022-11-13,"TIM HORTONS MARKHAM, ON",1.19,
2022-11-11,"CINEPLEX CINEMAS MARKHAM, ON",15.75,
2022-11-09,"ZARA YORKDALE MALL, ON",44.63,
2022-11-07,"CANADIAN TIRE MARKHAM, ON",19.99,
2022-11-06,"STARBUCKS TORONTO, ON",2.15,
2022-11-04,"CHAPMAN'S ICE CREAM MARKHAM, ON",1.75,
2022-11-02,"FOOD BASICS NORTH YORK, ON",15.38,
2022-11-01,"HMV TORONTO, ON",4.99,
2022-10-30,"CHAPTERS INDIGO MARKHAM, ON",7.92,
2022-10-28,"PETSUPPLIES PLUS RICHMOND HILL, ON",19.99,
2022-10-26,"CANADA POST MARKHAM, ON",0.65,
2022-10-25,"HOME HARDWARE MARKHAM, ON",12.89,
2022-10-23,"WALMART SUPERSTORE TORONTO, ON",31.75,
2022-10-22,"BEST BUY MARKHAM, ON",39.99,
2022-10-20,"PETSMART RICHMOND HILL, ON",10.83,
2022-10-18,"APPLE STORE EATON CENTRE TORONTO, ON",409.99,
2022-10-16,"SHOPPERS DRUG MART MARKHAM, ON",5.49,
2022-10-15,"TIM HORTONS MARKHAM, ON",0.99,
2022-10-13,"CINEPLEX CINEMAS MARKHAM, ON",13.5,
2022-10-11,"ZARA YORKDALE MALL, ON",36.29,
2022-10-09,"CANADIAN TIRE MARKHAM, ON",15.99,
2022-10-08,"STARBUCKS TORONTO, ON",1.85,
2022-10-06,"CHAPMAN'S ICE CREAM MARKHAM, ON",1.49,
2022-10-04,"FOOD BASICS NORTH YORK, ON",12.87,
2022-10-03,"HMV TORONTO, ON",3.99,
2022-10-01,"CHAPTERS INDIGO MARKHAM, ON",6.56,
2022-09-29,"PETSUPPLIES PLUS RICHMOND HILL, ON",14.99,
2022-09-27,"CANADA POST MARKHAM, ON",0.55,
2023-05-18,"THE HOME DEPOT #7262 MARKHAM, ON",44.02,
2022-10-31,"TIM HORTONS #6955 MARKHAM, ON",1.92,
2023-05-12,"WHOLE FOODS MARKET NORTH YORK, ON",20.08,
2023-05-03,"NETFLIX.COM 866-716-0414, ON",18.63,
2023-03-15,"BELL MOBILITY VERDUN, QC",16.95,
2023-03-06,"Amazon.ca Prime Member amazon.ca/pri, BC",11.29,
2022-11-07,"STARBUCKS MOL 4191T1 MISSISSAUGA, ON",17.18,
2022-11-07,"KABOB HUT WATERLOO, ON",37.69,
2022-11-07,"AIR CAN* 00144233302108 AIRCANADA.COM, MB",1.85,
2022-10-28,"COSTCO WHOLESALE W545 MARKHAM, ON",81.35,
2023-05-08,"LOBLAWS 1032 MARKHAM, ON",51.85,
2023-05-15,"BarBQ Tonite Mississauga, ON",133.57,
2022-12-22,"AMZ*Amazon.ca WWW.AMAZON.CA, ON",,29.37
